facility_type,monthly_energy_kwh,renewable_energy_pct,peak_load_factor,facility_area_sqm,operational_days_year,equipment_efficiency_rating,logistics_distance_km,fuel_consumed_liters,waste_recycled_pct,water_usage_m3,annual_carbon_footprint_mt,energy_intensity_kwh_sqm,eco_composite_score,sustainability_tier
Manufacturing,387402.7,9.9,0.73,22075.5,300,4.11,34998.1,11661.4,78.1,9341.5,2533.33,210.6,49.0,Moderate (Tier C)
Data Center,583486.7,11.0,0.88,16635.0,360,3.07,2636.5,805.4,70.4,12514.9,3000.88,420.9,34.1,High Risk (Tier D)
Logistics Hub,713847.9,40.0,0.43,63143.1,280,3.54,42638.4,7312.5,34.5,9263.1,4026.79,135.7,48.3,Moderate (Tier C)
Manufacturing,678115.5,37.6,0.67,16900.4,350,2.49,38119.1,6535.9,71.5,19994.3,2799.05,481.5,36.3,Moderate (Tier C)
Logistics Hub,433078.4,39.5,0.53,41150.0,365,2.59,34705.5,15815.9,32.4,4217.1,3187.55,126.3,40.4,Moderate (Tier C)
Data Center,835254.5,44.4,0.84,18472.4,360,3.7,3277.5,1792.7,94.6,6258.7,2332.9,542.6,55.0,Efficient (Tier B)
Manufacturing,2122557.8,38.7,0.75,66456.2,250,3.69,16408.2,9569.2,69.3,47189.5,7990.31,383.3,51.0,Moderate (Tier C)
Commercial Office,123202.0,19.8,0.77,9893.7,240,2.76,1789.3,1413.6,45.6,1477.9,766.29,149.4,38.5,Moderate (Tier C)
Commercial Office,124284.4,60.2,0.49,8168.9,240,2.73,620.2,2412.8,30.2,1740.8,563.48,182.6,42.3,Moderate (Tier C)
Healthcare,1441288.8,62.8,0.79,33275.2,365,3.05,9562.4,4785.0,55.7,28186.1,3414.05,519.8,43.1,Moderate (Tier C)
Logistics Hub,962619.5,30.9,0.45,73451.2,320,4.19,36434.5,13376.6,67.5,9583.5,4412.93,157.3,54.4,Moderate (Tier C)
Logistics Hub,246872.4,41.0,0.47,25065.7,320,4.39,59798.0,10303.9,80.8,2519.3,1344.93,118.2,61.8,Efficient (Tier B)
Data Center,652065.0,47.9,0.79,11180.2,365,3.85,3044.4,237.8,84.9,2467.0,1723.55,699.9,48.5,Moderate (Tier C)
Manufacturing,1188794.1,18.1,0.76,67540.5,300,3.51,29847.5,3449.0,48.9,79648.4,6917.55,211.2,41.9,Moderate (Tier C)
Logistics Hub,727540.8,75.1,0.43,46727.6,320,3.05,29947.8,13811.3,42.3,9488.7,2587.15,186.8,60.2,Efficient (Tier B)
Logistics Hub,976373.6,13.3,0.42,66869.9,365,2.98,24157.0,17363.8,50.3,15627.8,6370.08,175.2,32.1,High Risk (Tier D)
Healthcare,597186.5,49.2,0.81,22990.5,365,4.08,13056.6,4652.5,35.1,22917.6,2232.3,311.7,46.3,Moderate (Tier C)
Data Center,960053.1,50.3,0.73,22791.7,360,4.48,1527.5,305.2,49.2,8659.9,2754.12,505.5,49.3,Moderate (Tier C)
Data Center,610103.5,77.6,0.71,15643.9,365,4.15,3533.2,230.0,44.3,6310.2,1045.59,468.0,52.5,Moderate (Tier C)
Logistics Hub,420510.5,78.5,0.49,33350.4,280,3.88,44760.4,4537.6,55.2,4123.8,1314.76,151.3,69.7,Efficient (Tier B)
Data Center,1140268.9,35.1,0.88,20058.4,360,4.07,3728.1,998.4,66.2,15311.1,4036.64,682.2,44.4,Moderate (Tier C)
Healthcare,1340444.4,53.6,0.87,36006.3,365,4.79,7549.2,1378.0,68.1,15607.2,3778.11,446.7,54.7,Moderate (Tier C)
Healthcare,387365.5,60.4,0.67,16166.4,365,4.45,6048.0,2888.8,55.8,15407.0,1289.59,287.5,56.9,Efficient (Tier B)
Data Center,730493.3,38.3,0.83,23451.9,360,4.56,2622.3,609.5,91.7,7028.8,2284.12,373.8,56.1,Efficient (Tier B)
Logistics Hub,665583.1,59.4,0.57,37296.7,280,2.6,35260.6,7566.5,61.3,4489.7,2168.18,214.1,50.1,Moderate (Tier C)
Logistics Hub,404249.2,42.7,0.62,23102.1,320,2.58,15983.1,14842.8,66.4,1776.2,2010.78,210.0,42.4,Moderate (Tier C)
Manufacturing,598416.8,74.1,0.84,37842.9,250,2.1,29380.2,8821.2,36.3,38327.0,2244.27,189.8,50.6,Moderate (Tier C)
Healthcare,1147387.3,13.0,0.85,26857.3,365,3.77,14289.8,1097.6,50.1,38247.4,6009.29,512.7,28.2,High Risk (Tier D)
Commercial Office,314518.5,19.1,0.62,26932.3,240,3.15,2592.6,1071.9,62.6,10763.2,1771.26,140.1,40.7,Moderate (Tier C)
Logistics Hub,142749.0,43.1,0.55,20367.2,320,2.63,18345.1,5615.1,72.8,4561.0,946.07,84.1,56.0,Efficient (Tier B)
Data Center,571688.9,23.7,0.79,16787.3,365,3.01,4148.1,1907.1,92.8,4277.3,2149.66,408.7,38.9,Moderate (Tier C)
Healthcare,567677.9,27.3,0.71,27889.0,365,3.7,11007.8,4612.4,49.6,41693.0,3115.07,244.3,41.5,Moderate (Tier C)
Data Center,823137.8,33.1,0.74,20999.7,360,3.26,759.8,1721.0,45.7,4944.0,3342.27,470.4,35.5,Moderate (Tier C)
Manufacturing,517373.2,29.3,0.8,29202.4,300,2.8,35886.1,4045.6,48.1,18866.6,2544.67,212.6,41.8,Moderate (Tier C)
Healthcare,1185479.6,23.5,0.85,36925.9,365,3.95,6446.9,5011.9,47.7,24449.3,5039.82,385.3,37.7,Moderate (Tier C)
Manufacturing,411676.3,14.8,0.79,26955.2,300,3.0,43678.7,8854.4,57.0,29033.1,2578.74,183.3,40.5,Moderate (Tier C)
Data Center,1409458.3,71.0,0.88,31039.4,365,3.78,1091.4,672.5,46.8,17032.2,2986.35,544.9,46.8,Moderate (Tier C)
Healthcare,1019012.2,19.6,0.78,30185.1,365,4.18,12886.8,2479.5,29.5,41592.5,5550.88,405.1,36.5,Moderate (Tier C)
Healthcare,410813.4,12.9,0.71,17870.6,365,3.01,12682.8,1522.6,72.2,21838.3,2156.25,275.9,39.4,Moderate (Tier C)
Commercial Office,177384.9,33.1,0.72,21912.5,240,3.45,3835.3,1483.7,69.3,8655.5,942.16,97.1,53.1,Moderate (Tier C)
Commercial Office,363841.0,44.7,0.48,22047.6,240,2.52,4190.7,2467.6,69.7,4045.3,1327.33,198.0,49.1,Moderate (Tier C)
Data Center,1166231.2,39.6,0.78,29443.8,365,3.27,4789.9,330.8,74.1,9406.0,3879.03,475.3,43.4,Moderate (Tier C)
Data Center,627461.7,53.3,0.77,21344.0,365,3.54,3921.5,1500.3,47.7,4363.5,1951.03,352.8,46.3,Moderate (Tier C)
Data Center,1719938.6,53.0,0.8,30986.8,360,3.48,806.2,770.4,82.8,11157.6,4733.59,666.1,56.0,Efficient (Tier B)
Commercial Office,516185.7,73.3,0.58,26033.0,240,2.92,2243.0,1625.5,39.7,10358.1,1335.17,237.9,47.9,Moderate (Tier C)
Logistics Hub,429967.7,58.5,0.56,26441.6,365,4.12,28226.3,10248.6,89.2,5166.8,1453.79,195.1,63.6,Efficient (Tier B)
Logistics Hub,403342.6,43.2,0.61,29635.5,320,2.81,48830.9,11955.8,50.0,3109.7,2448.11,163.3,41.4,Moderate (Tier C)
Logistics Hub,871815.4,30.8,0.6,52655.4,320,3.93,35008.2,4379.1,85.8,7364.0,3726.0,198.7,56.6,Efficient (Tier B)
Manufacturing,625790.0,26.3,0.62,18099.9,250,3.3,16918.2,7460.9,60.4,8094.2,2757.43,414.9,37.3,Moderate (Tier C)
Commercial Office,215240.7,49.4,0.67,10450.4,240,3.98,6757.4,1485.6,59.4,3071.6,732.68,247.2,56.5,Efficient (Tier B)
Manufacturing,418039.1,74.9,0.62,12234.5,300,3.15,16861.5,5181.4,34.3,8427.2,1103.75,410.0,45.6,Moderate (Tier C)
Commercial Office,79172.6,80.1,0.62,4890.1,260,3.71,4004.5,356.1,78.8,1441.9,148.14,194.3,72.2,Efficient (Tier B)
Data Center,657199.8,42.9,0.73,23781.6,365,3.44,2501.8,1818.9,85.2,6661.7,2254.86,331.6,49.8,Moderate (Tier C)
Healthcare,1375280.0,36.2,0.78,43871.2,365,3.94,14120.5,5262.7,45.5,25781.4,5842.61,376.2,43.6,Moderate (Tier C)
Data Center,1321855.8,92.9,0.86,28672.9,360,4.39,3764.0,1705.5,43.6,22498.6,1246.38,553.2,65.7,Efficient (Tier B)
Manufacturing,2180954.0,46.2,0.79,63419.6,350,3.26,15203.7,11214.5,33.8,61936.5,8018.78,412.7,34.3,High Risk (Tier D)
Manufacturing,276017.3,49.9,0.78,16306.2,300,1.95,22075.8,7628.3,40.3,18518.9,1361.97,203.1,40.4,Moderate (Tier C)
Logistics Hub,287930.8,59.0,0.74,49145.7,280,4.46,44781.5,15436.5,48.4,9824.7,2258.29,70.3,68.1,Efficient (Tier B)
Commercial Office,46072.4,48.7,0.68,3598.6,260,2.59,4982.6,2187.3,54.9,1321.6,251.69,153.6,54.6,Moderate (Tier C)
Manufacturing,526949.5,36.2,0.85,15003.0,300,3.35,10489.1,13251.9,63.7,9252.9,2509.16,421.5,37.7,Moderate (Tier C)
Manufacturing,717383.3,29.0,0.79,31703.7,250,3.85,6950.7,12124.7,55.5,22009.9,3735.69,271.5,48.8,Moderate (Tier C)
Logistics Hub,310644.1,11.2,0.6,20938.0,280,2.87,17565.1,12229.2,32.9,4565.9,2469.65,178.0,28.9,High Risk (Tier D)
Manufacturing,1869596.1,23.2,0.7,47230.1,250,2.57,44791.0,13598.7,74.5,32903.5,7836.15,475.0,36.6,Moderate (Tier C)
Logistics Hub,856923.5,70.1,0.71,61515.3,320,3.2,20675.0,5818.0,87.8,11395.1,1857.14,167.2,70.0,Efficient (Tier B)
Logistics Hub,412861.8,56.2,0.44,55842.6,365,3.7,29504.6,14876.5,78.6,3582.8,1908.73,88.7,67.4,Efficient (Tier B)
Manufacturing,1607555.2,19.7,0.89,53734.1,250,1.85,22279.6,2396.1,71.3,62253.2,7548.08,359.0,31.3,High Risk (Tier D)
Manufacturing,1299387.6,40.0,0.79,60347.2,250,4.27,13468.6,3730.9,79.3,59326.1,4954.83,258.4,55.9,Efficient (Tier B)
Healthcare,485280.1,28.6,0.71,13424.7,365,3.11,10884.6,3887.2,44.6,16516.6,2203.61,433.8,29.3,High Risk (Tier D)
Data Center,1020290.8,32.0,0.77,17164.2,365,4.81,749.5,1699.5,88.3,8147.5,3580.28,713.3,57.8,Efficient (Tier B)
Data Center,633895.9,67.5,0.75,10900.0,365,3.34,4857.5,1015.2,56.6,8365.0,1350.21,697.9,47.9,Moderate (Tier C)
Logistics Hub,243755.6,39.6,0.43,27239.7,280,3.65,38165.3,11185.6,57.1,1946.1,1566.07,107.4,58.5,Efficient (Tier B)
Healthcare,1440952.7,32.0,0.79,35144.8,365,2.97,5079.0,1657.7,32.6,18875.4,5804.4,492.0,33.4,High Risk (Tier D)
Healthcare,343527.2,18.4,0.65,16077.2,365,3.01,4238.6,3041.1,43.4,15459.4,1949.25,256.4,37.3,Moderate (Tier C)
Logistics Hub,274804.7,65.9,0.4,37213.7,320,4.46,59352.0,13613.5,36.4,3673.8,2090.44,88.6,69.3,Efficient (Tier B)
Data Center,1615927.8,18.4,0.8,28421.0,360,3.98,1479.9,340.9,64.7,15462.7,6780.96,682.3,40.0,Moderate (Tier C)
Manufacturing,3100304.3,49.3,0.67,71132.3,250,2.48,7691.4,5216.0,66.9,79738.4,10222.85,523.0,43.1,Moderate (Tier C)
Logistics Hub,455173.7,75.5,0.41,31714.9,280,3.1,35598.5,5337.8,88.8,7282.7,916.87,172.2,69.7,Efficient (Tier B)
Commercial Office,274655.7,30.9,0.47,26319.5,260,4.59,2522.2,2067.2,42.2,10522.7,1811.47,125.2,55.3,Efficient (Tier B)
Data Center,1463053.3,15.2,0.93,24885.8,360,4.54,3335.8,1979.3,80.4,10118.2,6954.99,705.5,39.4,Moderate (Tier C)
Healthcare,691616.5,35.1,0.85,27304.1,365,3.21,5388.6,1281.1,48.3,22918.4,2763.2,304.0,41.5,Moderate (Tier C)
Manufacturing,2365737.1,45.7,0.64,56082.7,350,2.56,7802.7,2679.5,80.4,22900.8,6532.74,506.2,44.9,Moderate (Tier C)
Commercial Office,315014.2,52.5,0.61,15908.8,260,3.91,7878.0,965.9,33.3,5184.0,1293.38,237.6,48.0,Moderate (Tier C)
Manufacturing,1148109.9,67.1,0.61,47845.4,250,4.0,22282.7,11556.7,46.7,39992.7,3445.31,288.0,56.5,Efficient (Tier B)
Commercial Office,318248.2,48.7,0.6,18920.5,240,3.94,716.0,1644.9,47.4,3465.2,1224.98,201.8,56.1,Efficient (Tier B)
Manufacturing,714562.3,58.4,0.86,21229.2,350,4.39,39063.3,12365.5,29.4,14140.7,2878.2,403.9,52.0,Moderate (Tier C)
Manufacturing,164731.1,15.2,0.78,10560.2,300,3.22,12985.2,11006.5,77.1,10262.2,1152.72,187.2,41.8,Moderate (Tier C)
Manufacturing,1222742.7,56.7,0.71,27497.3,250,2.99,7772.3,8938.6,21.9,23039.2,3785.66,533.6,39.0,Moderate (Tier C)
Commercial Office,149943.9,51.4,0.7,17154.7,240,3.94,3190.6,2489.5,61.8,4186.7,711.61,104.9,62.4,Efficient (Tier B)
Logistics Hub,1149466.0,27.2,0.56,74589.1,320,3.67,37156.5,6692.4,84.9,10650.4,4307.25,184.9,51.9,Moderate (Tier C)
Commercial Office,242997.7,84.7,0.64,11391.4,240,3.97,7240.0,1195.6,54.8,1649.8,456.43,256.0,63.6,Efficient (Tier B)
Healthcare,405691.6,17.5,0.66,14720.4,365,3.74,13090.7,5654.6,41.0,20989.2,2226.24,330.7,32.9,High Risk (Tier D)
Data Center,321172.8,65.1,0.79,5846.9,360,4.17,992.7,1938.5,53.5,1782.5,775.87,659.2,54.8,Moderate (Tier C)
Data Center,1384402.6,44.6,0.87,26526.8,365,3.83,952.1,1116.5,52.1,5698.0,4644.38,626.3,43.0,Moderate (Tier C)
Healthcare,1245180.8,65.5,0.85,27732.4,365,4.49,10258.4,1016.1,40.1,17401.5,2991.78,538.8,54.9,Moderate (Tier C)
Manufacturing,603717.7,50.5,0.69,16736.4,350,4.49,39325.6,6895.3,68.2,19786.3,2134.47,432.9,49.8,Moderate (Tier C)
Healthcare,211185.4,60.7,0.81,9166.0,365,4.6,10108.7,1496.9,27.7,4833.6,779.98,276.5,57.6,Efficient (Tier B)
Manufacturing,706009.9,60.4,0.62,43815.1,250,4.25,8496.7,13237.9,33.1,45698.3,3104.91,193.4,59.7,Efficient (Tier B)
Healthcare,1558938.6,44.5,0.72,37789.4,365,4.7,2648.2,1579.5,55.5,37462.1,5085.87,495.0,45.3,Moderate (Tier C)
Manufacturing,486433.3,47.0,0.61,11103.0,350,2.5,33054.5,2172.5,42.2,3825.7,1826.76,525.7,38.8,Moderate (Tier C)
Healthcare,1842541.7,22.6,0.83,43272.7,365,4.44,10675.3,1453.0,37.8,53748.9,8874.52,511.0,38.0,Moderate (Tier C)
Commercial Office,386830.9,20.5,0.75,24938.6,240,3.91,1679.0,2409.6,65.7,6372.0,2020.6,186.1,51.5,Moderate (Tier C)
Healthcare,696338.1,17.9,0.85,17368.4,365,4.76,8524.3,3165.8,50.1,21342.6,3541.02,481.1,43.3,Moderate (Tier C)
Manufacturing,804738.6,10.5,0.73,45506.1,250,1.8,43523.8,13010.5,49.1,44965.1,5241.74,212.2,30.8,High Risk (Tier D)
Commercial Office,39905.4,32.7,0.67,4853.0,260,3.32,6416.9,660.9,71.4,1415.9,234.08,98.7,54.9,Moderate (Tier C)
Healthcare,934357.3,52.0,0.87,40326.1,365,3.99,3652.4,3023.2,61.7,23266.0,3172.61,278.0,57.5,Efficient (Tier B)
Commercial Office,74861.1,58.8,0.74,4962.3,240,3.59,3211.2,960.9,76.8,1284.1,219.35,181.0,57.6,Efficient (Tier B)
Commercial Office,222587.3,58.0,0.57,11547.1,240,4.41,3526.4,899.9,40.5,2858.8,830.56,231.3,59.3,Efficient (Tier B)
Commercial Office,358875.7,27.8,0.57,24230.7,260,4.75,6298.8,355.0,54.1,8081.6,1885.24,177.7,60.3,Efficient (Tier B)
Commercial Office,139342.0,43.3,0.76,7892.9,260,3.77,3174.2,1173.5,41.8,3075.5,614.49,211.8,48.2,Moderate (Tier C)
Commercial Office,127042.7,36.5,0.72,8817.1,260,2.68,5480.2,670.1,72.0,2175.9,581.95,172.9,51.8,Moderate (Tier C)
Commercial Office,593259.2,69.2,0.65,28468.6,240,4.46,1986.5,2198.6,45.7,5857.7,1457.17,250.1,67.8,Efficient (Tier B)
Healthcare,961820.0,68.6,0.69,41518.7,365,3.79,3065.2,1819.1,40.7,59709.9,2872.68,278.0,57.8,Efficient (Tier B)
Manufacturing,2194557.8,42.0,0.68,70013.6,300,3.13,23142.9,2456.6,33.1,66917.1,8716.11,376.1,38.9,Moderate (Tier C)
Data Center,318959.2,34.2,0.91,8302.2,365,4.57,2793.8,740.1,60.7,2413.9,1209.25,461.0,41.7,Moderate (Tier C)
Healthcare,1205142.1,48.2,0.67,35983.5,365,2.84,3330.3,2934.6,64.1,51330.9,3984.03,401.9,38.4,Moderate (Tier C)
Healthcare,733471.9,39.2,0.68,25255.9,365,4.55,12181.1,1674.2,54.4,24333.7,2974.84,348.5,53.7,Moderate (Tier C)
Commercial Office,459219.7,70.9,0.64,28493.2,240,4.17,4290.2,1731.9,89.7,4583.5,796.11,193.4,75.8,Leader (Tier A)
Commercial Office,307689.4,45.6,0.77,20638.2,260,3.07,3292.3,711.2,89.1,5091.1,1034.25,178.9,59.3,Efficient (Tier B)
Data Center,200175.8,10.9,0.71,6677.8,365,3.56,2162.3,487.2,88.5,4883.7,950.58,359.7,38.7,Moderate (Tier C)
Manufacturing,1176607.7,61.2,0.82,47159.1,250,2.37,9653.3,13641.4,71.2,15080.7,3538.0,299.4,50.1,Moderate (Tier C)
Commercial Office,102175.1,62.9,0.5,10322.0,240,2.73,1992.6,2499.6,34.2,1039.0,569.54,118.8,58.9,Efficient (Tier B)
Data Center,922368.0,17.7,0.94,32618.8,360,4.41,2311.4,1856.1,92.1,19250.1,3986.7,339.3,48.7,Moderate (Tier C)
Commercial Office,117536.8,84.9,0.59,9239.6,260,4.07,7165.6,1762.0,31.8,1599.0,418.7,152.7,69.7,Efficient (Tier B)
Manufacturing,839098.2,30.7,0.77,27416.3,300,2.21,36938.1,10486.7,26.9,12922.5,4199.38,367.3,27.3,High Risk (Tier D)
Healthcare,719675.4,43.2,0.9,31243.6,365,4.36,7073.1,3808.5,29.6,43818.5,3523.81,276.4,46.2,Moderate (Tier C)
Healthcare,904223.6,15.7,0.81,22012.0,365,4.1,13268.7,5448.7,49.9,31076.0,4354.03,492.9,33.1,High Risk (Tier D)
Commercial Office,422788.6,81.9,0.66,22734.3,260,2.93,579.1,319.4,43.7,6071.2,914.21,223.2,62.9,Efficient (Tier B)
Commercial Office,107505.0,24.0,0.59,11176.9,240,3.93,5476.2,2107.1,80.3,1840.2,540.73,115.4,58.7,Efficient (Tier B)
Data Center,573335.5,90.0,0.91,9698.4,360,3.1,4386.0,813.7,76.9,7174.0,447.1,709.4,58.0,Efficient (Tier B)
Logistics Hub,633418.4,47.9,0.69,58187.5,365,4.05,42987.2,12495.1,78.2,12795.1,2634.32,130.6,64.0,Efficient (Tier B)
Commercial Office,144195.3,48.9,0.58,16248.8,260,3.81,7007.9,1137.1,34.3,6336.7,854.69,106.5,53.3,Moderate (Tier C)
Manufacturing,1537930.1,26.8,0.7,35313.3,300,4.18,19007.5,2999.1,70.9,33621.8,6836.02,522.6,46.6,Moderate (Tier C)
Healthcare,783313.2,41.6,0.84,24378.2,365,3.56,7760.7,2756.2,64.5,19601.9,2722.58,385.6,43.4,Moderate (Tier C)
Logistics Hub,455066.0,55.3,0.63,38514.9,280,3.06,57003.6,14129.5,31.8,6371.8,2658.81,141.8,50.8,Moderate (Tier C)
Healthcare,1010607.2,34.5,0.79,30869.8,365,3.52,3059.2,1805.4,45.7,44632.2,4161.18,392.9,39.8,Moderate (Tier C)
Logistics Hub,101129.3,39.0,0.65,18426.1,320,3.03,33968.0,5321.6,75.7,1384.6,725.69,65.9,53.1,Moderate (Tier C)
Commercial Office,470914.0,35.5,0.49,27208.7,260,4.0,6683.9,1102.5,88.7,3317.4,1955.71,207.7,58.4,Efficient (Tier B)
Data Center,1140744.1,48.0,0.7,22887.8,360,3.02,1169.6,1596.6,92.5,10713.1,2883.31,598.1,47.9,Moderate (Tier C)
Healthcare,1167490.4,25.4,0.7,42026.5,365,4.5,13778.2,3616.3,64.0,45908.3,5505.4,333.4,46.0,Moderate (Tier C)
Healthcare,1022884.3,50.6,0.67,31388.5,365,4.63,10000.9,1802.0,48.9,33492.3,3822.23,391.1,49.0,Moderate (Tier C)
Manufacturing,1838794.4,22.3,0.88,56676.6,300,4.2,29021.4,8360.6,49.9,18423.1,9217.47,389.3,36.2,Moderate (Tier C)
Manufacturing,1612925.0,49.4,0.82,50852.8,250,4.05,22071.6,9784.8,29.1,48541.1,6136.13,380.6,44.0,Moderate (Tier C)
Data Center,816589.2,27.3,0.91,18288.5,360,3.88,4356.3,1431.6,88.0,13340.8,3004.18,535.8,42.1,Moderate (Tier C)
Logistics Hub,312573.1,24.4,0.52,18884.5,320,3.33,28466.2,14473.5,41.4,1730.9,2309.28,198.6,41.9,Moderate (Tier C)
Healthcare,351294.2,63.2,0.87,12647.8,365,4.35,11558.3,4946.2,27.6,8807.4,1296.92,333.3,50.3,Moderate (Tier C)
Manufacturing,1038794.5,55.5,0.63,31862.5,250,4.36,35674.0,5219.4,81.2,26500.8,2701.86,391.2,55.6,Efficient (Tier B)
Commercial Office,405962.7,68.1,0.72,26685.8,240,4.03,3340.1,2390.6,71.4,9666.9,1065.34,182.6,68.5,Efficient (Tier B)
Data Center,603314.3,56.9,0.75,12572.1,365,4.08,4859.7,1071.6,86.3,2994.2,1350.32,575.9,54.9,Moderate (Tier C)
Healthcare,1380550.3,12.5,0.73,44883.4,365,4.61,4486.1,4000.2,39.1,37984.2,6410.07,369.1,40.1,Moderate (Tier C)
Logistics Hub,448752.5,28.3,0.73,32239.9,320,3.47,46604.6,15927.6,86.8,3911.4,2272.37,167.0,53.9,Moderate (Tier C)
Logistics Hub,488711.4,18.2,0.56,62209.7,320,4.44,47128.1,16945.2,61.7,9544.6,3673.98,94.3,58.6,Efficient (Tier B)
Commercial Office,90476.5,51.9,0.62,5552.4,240,3.43,7778.3,369.7,79.4,1002.5,306.64,195.5,57.2,Efficient (Tier B)
Data Center,343821.1,41.6,0.72,9910.3,365,3.82,1479.6,1938.8,41.4,2758.8,1300.05,416.3,38.1,Moderate (Tier C)
Data Center,609664.2,34.4,0.75,11653.4,365,4.97,4285.0,264.7,70.8,6934.2,2349.76,627.8,46.0,Moderate (Tier C)
Manufacturing,717060.5,64.2,0.88,28157.4,250,4.08,36963.3,8101.7,67.3,14349.4,2168.94,305.6,58.4,Efficient (Tier B)
Healthcare,1058146.7,69.9,0.71,44288.2,365,3.22,12303.0,1771.9,21.4,20962.7,3149.42,286.7,47.6,Moderate (Tier C)
Logistics Hub,675569.9,74.8,0.69,69290.9,320,2.97,20197.8,8565.5,82.1,6519.4,1679.15,117.0,69.3,Efficient (Tier B)
Healthcare,570387.9,41.1,0.83,26488.3,365,4.05,14617.2,3706.6,73.9,20396.9,2248.43,258.4,57.4,Efficient (Tier B)
Healthcare,1242546.9,27.7,0.71,33765.4,365,4.29,11753.5,2449.9,34.2,31472.2,5647.76,441.6,39.0,Moderate (Tier C)
Commercial Office,32681.9,28.8,0.64,2725.1,260,4.24,7663.8,676.4,62.5,537.0,184.55,143.9,59.0,Efficient (Tier B)
Logistics Hub,241386.0,41.7,0.64,25064.7,280,3.81,30351.7,14465.2,40.2,4009.2,1829.0,115.6,51.8,Moderate (Tier C)
Healthcare,1400399.6,49.7,0.86,31562.4,365,2.92,6891.0,5613.0,70.2,30089.9,4389.55,532.4,43.5,Moderate (Tier C)
Logistics Hub,827360.6,41.8,0.55,71796.7,280,3.44,17211.7,6674.9,48.1,14941.1,4510.17,138.3,49.6,Moderate (Tier C)
Manufacturing,1420544.6,42.3,0.82,34961.2,350,2.12,15079.9,13049.1,58.8,28788.1,5533.86,487.6,34.8,High Risk (Tier D)
Commercial Office,236395.5,29.7,0.63,12248.8,260,3.09,6639.4,2259.0,30.6,4098.2,1303.23,231.6,43.4,Moderate (Tier C)
Manufacturing,824843.8,55.8,0.8,49353.9,300,3.77,12986.8,6455.3,27.4,37090.9,3929.02,200.6,48.7,Moderate (Tier C)
Healthcare,740059.3,43.4,0.79,23035.6,365,4.44,4231.8,5000.7,58.5,26771.1,2834.76,385.5,51.2,Moderate (Tier C)
Commercial Office,134519.8,34.2,0.68,13536.5,260,4.68,1019.8,1195.4,51.5,3829.6,762.06,119.3,62.5,Efficient (Tier B)
Manufacturing,1178384.3,67.7,0.78,54049.3,300,4.22,15706.7,6927.2,64.6,59926.5,3428.06,261.6,61.0,Efficient (Tier B)
Commercial Office,240789.1,26.2,0.75,26051.5,260,3.44,3716.9,1505.3,29.3,6678.3,1778.67,110.9,46.0,Moderate (Tier C)
Commercial Office,355101.6,39.9,0.58,22423.6,240,3.3,6098.4,2244.4,73.4,7333.4,1523.47,190.0,52.4,Moderate (Tier C)
Data Center,282586.8,61.6,0.79,9559.4,360,4.75,687.4,1695.1,68.8,5188.8,699.82,354.7,60.7,Efficient (Tier B)
Manufacturing,1089706.9,6.1,0.68,66840.9,250,2.43,39576.1,5712.4,44.2,61809.0,6869.04,195.6,29.0,High Risk (Tier D)
Commercial Office,184930.9,51.2,0.48,11847.9,240,4.35,3614.5,780.5,71.8,2193.8,604.83,187.3,63.2,Efficient (Tier B)
Commercial Office,199286.6,49.5,0.58,12048.3,240,3.81,6090.5,1009.5,78.2,2299.2,673.63,198.5,64.1,Efficient (Tier B)
Logistics Hub,911833.6,70.0,0.63,75444.9,280,2.7,25443.5,13924.6,54.9,16201.7,3612.52,145.0,58.6,Efficient (Tier B)
Commercial Office,63601.7,17.6,0.53,4501.5,240,3.86,7151.3,2233.3,62.4,1457.2,401.01,169.5,46.2,Moderate (Tier C)
Healthcare,758108.0,35.0,0.79,37103.6,365,4.52,8163.3,821.4,28.5,15290.9,3818.36,245.2,47.9,Moderate (Tier C)
Commercial Office,369300.5,57.8,0.51,20604.6,240,3.05,7538.4,510.6,81.0,2760.5,927.04,215.1,52.1,Moderate (Tier C)
Commercial Office,336730.8,53.9,0.69,15359.1,260,4.22,7998.1,1839.8,63.2,2062.0,1209.35,263.1,56.0,Efficient (Tier B)
Healthcare,636659.3,45.9,0.69,14445.8,365,3.16,13897.2,3219.1,53.1,6782.4,1995.82,528.9,43.9,Moderate (Tier C)
Data Center,409431.9,19.6,0.84,6935.0,360,4.95,1545.3,1786.3,87.9,2752.9,1830.33,708.5,48.7,Moderate (Tier C)
Manufacturing,1023955.5,29.9,0.73,51346.9,300,3.79,23136.6,13871.4,51.3,17933.9,5417.74,239.3,44.8,Moderate (Tier C)
Manufacturing,1045303.9,33.7,0.82,42703.7,300,3.9,42648.6,12342.6,41.6,34498.4,5283.27,293.7,44.1,Moderate (Tier C)
Logistics Hub,147638.9,46.9,0.64,23122.2,365,3.07,58272.5,8379.8,33.4,1609.5,1351.23,76.6,54.4,Moderate (Tier C)
Commercial Office,56411.4,57.4,0.61,5095.2,240,4.31,6635.8,2399.0,36.7,1769.5,330.61,132.9,65.5,Efficient (Tier B)
Logistics Hub,122648.3,51.8,0.63,21484.6,280,3.52,17462.1,11496.6,78.6,5095.1,968.64,68.5,64.8,Efficient (Tier B)
Manufacturing,2664186.4,52.3,0.83,62009.9,300,2.38,37444.2,4366.9,46.3,30520.3,8510.29,515.6,34.9,High Risk (Tier D)
